Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
XD|13084|46.173206|-122.584869|407.1|WGS84|2014-07-22T20:00:08|2014-07-27T00:00:00
XD|13085|46.173095|-122.586984|392.6|WGS84|2014-07-22T19:49:00|2014-07-27T00:00:00
XD|13086|46.17266|-122.587942|379.8|WGS84|2014-07-22T19:54:36|2014-07-27T00:00:00
XD|13087|46.172789|-122.589812|380.0|WGS84|2014-07-22T19:42:27|2014-07-27T00:00:00
XD|13088|46.172528|-122.590788|365.8|WGS84|2014-07-22T19:49:22|2014-07-27T00:00:00
XD|13089|46.171753|-122.593067|382.1|WGS84|2014-07-22T19:37:12|2014-07-27T00:00:00
XD|1309|46.066346|-122.360101|931.2|WGS84|2014-07-22T22:52:36|2014-07-27T00:00:00
XD|13090|46.171694|-122.593506|362.4|WGS84|2014-07-22T19:42:32|2014-07-27T00:00:00
XD|13091|46.171734|-122.597132|377.4|WGS84|2014-07-22T19:31:37|2014-07-27T00:00:00
XD|13092|46.171713|-122.598435|361.3|WGS84|2014-07-22T19:36:48|2014-07-27T00:00:00
XD|13093|46.170787|-122.600613|356.6|WGS84|2014-07-22T19:25:50|2014-07-27T00:00:00
XD|13094|46.170225|-122.602796|322.3|WGS84|2014-07-22T19:29:24|2014-07-27T00:00:00
XD|13095|46.169784|-122.604665|354.1|WGS84|2014-07-22T19:19:47|2014-07-27T00:00:00
XD|13096|46.169191|-122.607598|302.0|WGS84|2014-07-22T19:22:58|2014-07-27T00:00:00
XD|13097|46.169069|-122.610116|272.5|WGS84|2014-07-22T19:12:56|2014-07-27T00:00:00
XD|13098|46.168672|-122.612738|248.2|WGS84|2014-07-22T19:13:20|2014-07-27T00:00:00
XD|13099|46.162685|-122.612162|290.5|WGS84|2014-07-22T19:01:52|2014-07-27T00:00:00
XD|1310|46.06579|-122.357662|920.7|WGS84|2014-07-22T22:39:25|2014-07-27T00:00:00
XD|13100|46.166922|-122.613251|219.0|WGS84|2014-07-22T19:03:32|2014-07-27T00:00:00
XD|13101|46.158873|-122.613629|355.3|WGS84|2014-07-22T18:53:43|2014-07-27T00:00:00
XD|13102|46.156817|-122.619644|399.6|WGS84|2014-07-22T18:54:00|2014-07-27T00:00:00
XD|13103|46.154992|-122.620393|420.1|WGS84|2014-07-22T18:45:26|2014-07-27T00:00:00
XD|13104|46.152594|-122.620416|455.8|WGS84|2014-07-22T18:45:49|2014-07-27T00:00:00
XD|13105|46.149894|-122.621633|500.2|WGS84|2014-07-22T18:38:55|2014-07-27T00:00:00
XD|1311|46.066781|-122.357258|929.1|WGS84|2014-07-22T22:33:12|2014-07-27T00:00:00
XD|1312|46.068872|-122.357044|933.6|WGS84|2014-07-22T22:26:44|2014-07-27T00:00:00
XD|1313|46.070695|-122.357401|939.1|WGS84|2014-07-22T22:22:25|2014-07-27T00:00:00
XD|1314|46.072742|-122.357442|922.1|WGS84|2014-07-22T22:13:50|2014-07-27T00:00:00
XD|1315|46.073817|-122.356821|939.4|WGS84|2014-07-22T22:08:53|2014-07-27T00:00:00
XD|1316|46.074909|-122.354669|938.9|WGS84|2014-07-22T21:59:41|2014-07-27T00:00:00
XD|1317|46.075682|-122.353045|946.1|WGS84|2014-07-22T21:54:01|2014-07-27T00:00:00
XD|1318|46.078079|-122.352277|953.5|WGS84|2014-07-22T21:46:21|2014-07-27T00:00:00
XD|1319|46.079171|-122.349791|919.8|WGS84|2014-07-22T21:40:48|2014-07-27T00:00:00
XD|1320|46.079894|-122.348383|913.2|WGS84|2014-07-22T21:35:42|2014-07-27T00:00:00
XD|1321|46.081846|-122.350011|894.2|WGS84|2014-07-22T21:30:08|2014-07-27T00:00:00
XD|1322|46.082734|-122.350047|883.7|WGS84|2014-07-22T21:23:33|2014-07-27T00:00:00
XD|1323|46.085122|-122.351778|882.0|WGS84|2014-07-22T21:18:01|2014-07-27T00:00:00
XD|1324|46.086099|-122.350008|863.4|WGS84|2014-07-22T21:09:20|2014-07-27T00:00:00
XD|1325|46.090159|-122.356095|818.0|WGS84|2014-07-22T20:58:24|2014-07-27T00:00:00
XD|1326|46.088446|-122.35252|847.2|WGS84|2014-07-22T21:04:06|2014-07-27T00:00:00
XD|1327|46.090293|-122.350957|753.5|WGS84|2014-07-22T20:49:31|2014-07-27T00:00:00
XD|1328|46.090174|-122.347835|738.6|WGS84|2014-07-22T20:43:23|2014-07-27T00:00:00
XD|1329|46.089323|-122.344149|701.7|WGS84|2014-07-22T20:34:07|2014-07-27T00:00:00
XD|1330|46.091029|-122.345064|686.3|WGS84|2014-07-22T20:26:47|2014-07-27T00:00:00
XD|1331|46.092805|-122.346044|672.6|WGS84|2014-07-22T20:18:44|2014-07-27T00:00:00
XD|1332|46.09384|-122.344838|667.4|WGS84|2014-07-22T20:12:15|2014-07-27T00:00:00
XD|1333|46.095059|-122.343867|651.6|WGS84|2014-07-22T20:04:55|2014-07-27T00:00:00
XD|1334|46.096004|-122.344209|644.6|WGS84|2014-07-22T19:56:42|2014-07-27T00:00:00
XD|1335|46.097055|-122.341502|575.5|WGS84|2014-07-22T19:46:39|2014-07-27T00:00:00
XD|1336|46.097276|-122.340449|558.7|WGS84|2014-07-22T19:41:12|2014-07-27T00:00:00
XD|1337|46.09961|-122.341334|500.0|WGS84|2014-07-22T19:29:52|2014-07-27T00:00:00
XD|1338|46.097733|-122.336728|503.9|WGS84|2014-07-22T18:59:04|2014-07-27T00:00:00
XD|1339|46.098245|-122.335312|508.5|WGS84|2014-07-22T19:04:20|2014-07-27T00:00:00
XD|1340|46.100215|-122.33495|511.1|WGS84|2014-07-22T19:09:45|2014-07-27T00:00:00
XD|1341|46.102217|-122.334775|530.0|WGS84|2014-07-22T19:15:20|2014-07-27T00:00:00
XD|1342|46.103131|-122.334697|533.9|WGS84|2014-07-22T19:19:32|2014-07-27T00:00:00
XD|1343|46.099468|-122.322017|532.9|WGS84|2014-07-21T15:43:54|2014-07-27T00:00:00
XD|1344|46.101239|-122.322536|525.9|WGS84|2014-07-21T15:52:13|2014-07-27T00:00:00
XD|1345|46.102304|-122.324531|739.6|WGS84|2014-07-21T16:01:50|2014-07-27T00:00:00
XD|1346|46.105476|-122.324504|513.0|WGS84|2014-07-21T16:10:23|2014-07-27T00:00:00
XD|1347|46.107237|-122.324448|505.4|WGS84|2014-07-21T16:15:39|2014-07-27T00:00:00
XD|1348|46.108091|-122.324706|504.7|WGS84|2014-07-21T16:19:22|2014-07-27T00:00:00
XD|1349|46.110058|-122.326006|483.4|WGS84|2014-07-21T16:29:05|2014-07-27T00:00:00
XD|1350|46.111844|-122.327918|495.2|WGS84|2014-07-21T16:34:36|2014-07-27T00:00:00
XD|1351|46.113805|-122.329505|508.9|WGS84|2014-07-21T16:40:38|2014-07-27T00:00:00
XD|1352|46.115007|-122.330486|499.3|WGS84|2014-07-21T16:50:28|2014-07-27T00:00:00
XD|1353|46.117018|-122.332251|499.4|WGS84|2014-07-21T16:58:02|2014-07-27T00:00:00
XD|1354|46.117948|-122.332978|499.2|WGS84|2014-07-21T17:03:22|2014-07-27T00:00:00
XD|1355|46.119803|-122.333394|503.4|WGS84|2014-07-21T17:09:02|2014-07-27T00:00:00
XD|1356|46.121957|-122.331933|506.9|WGS84|2014-07-21T17:14:06|2014-07-27T00:00:00
XD|1357|46.123712|-122.330033|525.3|WGS84|2014-07-21T17:19:58|2014-07-27T00:00:00
XD|1358|46.125104|-122.328481|538.7|WGS84|2014-07-21T17:26:17|2014-07-27T00:00:00
XD|1359|46.125765|-122.327686|546.0|WGS84|2014-07-21T17:32:50|2014-07-27T00:00:00
XD|1360|46.127568|-122.326091|548.7|WGS84|2014-07-21T17:39:36|2014-07-27T00:00:00
XD|1361|46.128851|-122.325479|557.4|WGS84|2014-07-21T17:45:28|2014-07-27T00:00:00
XD|1362|46.13109|-122.325119|571.9|WGS84|2014-07-21T17:51:48|2014-07-27T00:00:00
XD|1363|46.132824|-122.325444|579.1|WGS84|2014-07-21T17:57:12|2014-07-27T00:00:00
XD|1364|46.134843|-122.324644|613.1|WGS84|2014-07-21T18:09:23|2014-07-27T00:00:00
XD|1365|46.137207|-122.324026|605.9|WGS84|2014-07-21T18:14:11|2014-07-27T00:00:00
XD|1366|46.140918|-122.329546|616.6|WGS84|2014-07-21T18:29:32|2014-07-27T00:00:00
XD|1367|46.139052|-122.325291|606.4|WGS84|2014-07-21T18:20:27|2014-07-27T00:00:00
XD|1368|46.142647|-122.326855|630.4|WGS84|2014-07-21T18:36:38|2014-07-27T00:00:00
XD|1369|46.144206|-122.325118|638.4|WGS84|2014-07-21T18:44:09|2014-07-27T00:00:00
